Source,Target,Weight
Ed Davey,GLO,1
Ed Davey,Jo Swinson,1
Ed Davey,Norman Lamb,1
Ed Davey,Pat McFadden,1
GLO,Jo Swinson,1
GLO,Norman Lamb,1
GLO,Pat McFadden,1
GLO,Freeths,1
GLO,Ian Henderson,1
Jo Swinson,Norman Lamb,1
Jo Swinson,Pat McFadden,1
Norman Lamb,Pat McFadden,1
defect,Second Sight,3
defect,Ms Venals,1
defect,James Arbuthnot,1
defect,Horizon Online,7
defect,Legacy Horizon,5
defect,mismatch,1
defect,SSC,2
defect,PEAK,1
defect,PinICL,1
defect,Fujitsu,2
Second Sight,Simon Baker,2
Second Sight,Board,3
Second Sight,Casey,1
Second Sight,Richard Morgan,1
Second Sight,Grant Thornton,1
Second Sight,Kay Lynell,2
Second Sight,the Second Sight Interim Report,2
Second Sight,Ron,1
Second Sight,Vennells,5
Second Sight,Ms Venals,1
Second Sight,Project Spire,1
Second Sight,James Arbuthnot,5
Second Sight,Royal Mail,1
Second Sight,CCRC,1
Second Sight,Fujitsu,2
Second Sight,Wynne,1
Second Sight,the Court of Appeal,1
Second Sight,the Second Sight Review,1
Second Sight,Network,1
Second Sight,Second Sight Support Services Limited,1
Second Sight,Anthony Hooper,1
Second Sight,Ian Henderson,1
Second Sight,MPs,2
Second Sight,Paul Venells,1
Second Sight,Paula Vannells,1
Second Sight,NDA,1
Lesley Sewell,Simon Baker,1
Lesley Sewell,Ron,1
Lesley Sewell,Alwyn Lyon,1
Lesley Sewell,Mark Davies,2
Lesley Sewell,Martin Edwards,1
Lesley Sewell,Sue,1
Lesley Sewell,Horizon Online,1
Lesley Sewell,Mrs Misra's,1
Lesley Sewell,Mrs Misra,1
Lesley Sewell,Fujitsu,1
Lesley Sewell,CCRC,1
Simon Baker,David Oliver,1
Simon Baker,Wynne,1
Ron,Alice,1
Ron,Vennells,2
Ron,Roderick Williams,1
Alice,Vennells,2
Alice,Olwen,2
Alice,Martin Edwards,1
Alice,Chair,1
Vennells,Olwen,1
Vennells,James R. Buttnott's,1
Vennells,Baker,2
Vennells,Ron Warmington,1
Vennells,the Second Sight Review,1
Vennells,Paula Vannells,1
Vennells,Allin Lyons,1
Vennells,Ojard,1
the Court of Appeal,CCRC,1
the Court of Appeal,Fujitsu,1
the Court of Appeal,Wynne,1
the Court of Appeal,Clarke,1
the Court of Appeal,Hamilton,1
Mishra,Seema Misra,1
Seema Misra,Ms Meadows,1
Seema Misra,Ms Sewell,1
Mrs Misra's,Richard Morgan,1
Mrs Misra's,Horizon Online,1
Mrs Misra's,David Jones,1
Richard Morgan,Board,1
Richard Morgan,Casey,1
Hugh Flemington,Simon Richardson,1
Ms Crichton's,Ms Misra,1
Board,Casey,1
Board,Post,1
Board,Isaac Perkins,1
Board,Royal Mail,1
Board,the General Counsel,1
Kay Lynell,MPs,1
Access Legal,Shoesmiths,1
Janet,Ms Lyons,1
Mark,Rod/Leslie,1
James Arbuthnot,Alan Bates',1
James Arbuthnot,Anthony Hooper,1
James Arbuthnot,Jo,1
Baker,Ron Warmington,1
Wynne,CCRC,1
Wynne,Fujitsu,1
Wynne,Ian Henderson,1
Alwyn Lyon,Mark Davies,1
Alwyn Lyon,Martin Edwards,1
Alwyn Lyon,Sue,1
Mark Davies,Martin Edwards,1
Mark Davies,Sue,1
Martin Edwards,Sue,1
Royal Mail,Ian Henderson,1
Royal Mail,National Savings Investments,2
MPs,Bearer,1
MPs,Beer,1
Davis,Ms Sewell,1
CCRC,Fujitsu,1
CCRC,Horizon Computer Systems,1
CCRC,Ian,1
CCRC,Amanda Peacock,1
Fujitsu,Michael Rudkin,1
Fujitsu,Rudkin,1
Fujitsu,Ms Crichton,1
Fujitsu,Fujitsu Services Limited,1
Fujitsu,ICL,4
Fujitsu,ICL Fujitsu,1
Fujitsu,Horizon Online,1
Fujitsu,Legacy Horizon,2
Fujitsu,ICO,1
Fujitsu,Project Impact,2
Fujitsu,DSS,1
Fujitsu,ITL Management,1
Fujitsu,PFI,1
Fujitsu,mismatch,1
Fujitsu,Paragraphs 45,1
Fujitsu,Phil Boardman,1
Fujitsu,Castleton,2
Fujitsu,Richard Benton,1
Fujitsu,Marine Drive,1
Fujitsu,Anne Chambers,1
Fujitsu,Naomi Ellis,1
Fujitsu,Pearce,1
Fujitsu,Gareth,1
Fujitsu,Hosey,1
Fujitsu,Misra,1
Fujitsu,Penny,1
Fujitsu,Jane Owen,1
Simon Clarke's,the Court of Appeal Criminal Division,1
Horizon Online,Legacy Horizon,9
Horizon Online,mismatch,2
Horizon Online,Bureau de Change,1
Horizon Online,PEAK,2
